#,title,videoUrl,videoId,publishedAt,position
45,Big Data Case Study 🔥🔥,https://www.youtube.com/watch?v=d8KvA65Z19A&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=45,d8KvA65Z19A,2020-11-24T16:50:12Z,44
46,Introduction to Hadoop in Hindi & What is Hadoop in hindi,https://www.youtube.com/watch?v=AtaLA1Yhw3A&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=46,AtaLA1Yhw3A,2020-11-17T14:30:00Z,45
47,Features of Hadoop 🔥🔥,https://www.youtube.com/watch?v=IDTGrlaYYEU&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=47,IDTGrlaYYEU,2020-11-20T14:30:01Z,46
48,Hadoop Architecture 🔥🔥,https://www.youtube.com/watch?v=7bJTDRhJp3I&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=48,7bJTDRhJp3I,2020-11-19T14:30:00Z,47
49,HDFS Architecture 🔥🔥,https://www.youtube.com/watch?v=oWefH_4ftUY&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=49,oWefH_4ftUY,2020-11-21T14:30:02Z,48
50,Hadoop Ecosystem 🔥🔥,https://www.youtube.com/watch?v=ER883J9F4uc&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=50,ER883J9F4uc,2020-11-24T16:14:17Z,49
51,Distributed File System 🔥🔥,https://www.youtube.com/watch?v=McTWc6N-pBg&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=51,McTWc6N-pBg,2020-11-25T16:54:33Z,50
52,What is MapReduce in Hadoop ? 🔥🔥,https://www.youtube.com/watch?v=W9mX04IvFRA&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=52,W9mX04IvFRA,2020-11-22T14:30:00Z,51
53,What is NoSQL database in Hindi,https://www.youtube.com/watch?v=iAdTs4hVK8E&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=53,iAdTs4hVK8E,2020-12-03T06:30:01Z,52
54,SQL vs NOSQL in Hindi,https://www.youtube.com/watch?v=Oqz6Jp5raCo&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=54,Oqz6Jp5raCo,2020-12-03T14:30:04Z,53
55,Features of NoSQL Database,https://www.youtube.com/watch?v=ceKYCxXAYwc&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=55,ceKYCxXAYwc,2020-12-03T11:30:03Z,54
56,CAP Theorem 🔥🔥,https://www.youtube.com/watch?v=taArwdC6b7w&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=56,taArwdC6b7w,2020-12-04T16:47:32Z,55
57,BASE properties of NoSQL database,https://www.youtube.com/watch?v=qrwhdNf51aU&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=57,qrwhdNf51aU,2020-12-05T14:30:03Z,56
58,NoSQL data Architecture patterns,https://www.youtube.com/watch?v=6RBF-vhU8dA&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=58,6RBF-vhU8dA,2024-10-07T15:00:07Z,57
59,Types of Big Data Problems 🔥,https://www.youtube.com/watch?v=nBJ09B-hY2A&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=59,nBJ09B-hY2A,2024-10-08T14:30:31Z,58
60,Client Server and Peer to peer model,https://www.youtube.com/watch?v=mfs8pvP9Hg8&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=60,mfs8pvP9Hg8,2024-10-10T14:30:19Z,59
61,What is Cassandra in Big Data Analytics in Hindi,https://www.youtube.com/watch?v=eOv5sty-fvQ&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=61,eOv5sty-fvQ,2021-07-02T14:30:12Z,60
62,What is MongoDB in Big Data Analytics in Hindi,https://www.youtube.com/watch?v=YZhrh9-dhg4&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=62,YZhrh9-dhg4,2021-07-03T14:30:04Z,61
63,What is DynamoDB in Big Data Analytics in Hindi,https://www.youtube.com/watch?v=vc-fmlODwEI&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=63,vc-fmlODwEI,2021-07-04T14:30:06Z,62
64,Data Stream Management System ( DSMS ) 🔥,https://www.youtube.com/watch?v=z_PeGrKuRl8&list=PLwC0UuFKct50cbfZcJjUFcBSQ9ex1K40t&index=64,z_PeGrKuRl8,2024-10-17T14:30:26Z,63
